Timestamp,From Currency,To Currency,Exchange Rate
2024-10-30 19:45:14,USD,JPY,153.37600000
2024-10-30 19:45:57,USD,JPY,153.36400000
2024-10-30 19:46:15,USD,JPY,153.39400000
2024-10-30 19:46:58,USD,JPY,153.39200000
2024-10-30 19:47:16,USD,JPY,153.34900000
2024-10-30 19:48:00,USD,JPY,153.34200000
2024-10-30 19:48:17,USD,JPY,153.34200000
2024-10-30 19:49:01,USD,JPY,153.37900000
2024-10-30 19:49:17,USD,JPY,153.37900000
2024-10-30 19:50:03,USD,JPY,153.35500000
2024-10-30 19:50:19,USD,JPY,153.35500000
2024-10-30 19:51:06,USD,JPY,153.31900000
2024-10-30 19:51:20,USD,JPY,153.31900000
2024-10-30 19:52:07,USD,JPY,153.39100000
2024-10-30 19:52:21,USD,JPY,153.39100000
2024-10-30 19:53:09,USD,JPY,153.31600000
2024-10-30 19:53:22,USD,JPY,153.31600000
2024-10-30 19:54:11,USD,JPY,153.26500000
2024-10-30 19:54:22,USD,JPY,153.26500000
2024-10-30 19:55:16,USD,JPY,153.28600000
2024-10-30 19:55:24,USD,JPY,153.28600000
2024-10-30 19:56:18,USD,JPY,153.30800000
2024-10-30 19:56:24,USD,JPY,153.30800000
2024-10-30 19:57:18,USD,JPY,153.33400000
2024-10-30 19:57:25,USD,JPY,153.33400000
2024-10-30 19:58:19,USD,JPY,153.34500000
