Timestamp,From Currency,To Currency,Exchange Rate
2024-11-08 20:20:08,USD,JPY,152.523961
2024-11-08 20:20:39,USD,JPY,152.523961
2024-11-08 20:21:10,USD,JPY,152.665005
2024-11-08 20:21:40,USD,JPY,152.665005
2024-11-08 20:22:11,USD,JPY,152.657501
2024-11-08 20:22:41,USD,JPY,152.657501
2024-11-08 20:23:11,USD,JPY,152.657501
2024-11-08 20:23:42,USD,JPY,152.657501
2024-11-08 20:24:12,USD,JPY,152.657501
2024-11-08 20:24:43,USD,JPY,152.657501
2024-11-08 20:25:13,USD,JPY,152.657501
2024-11-08 20:25:35,USD,JPY,152.657501
2024-11-08 20:26:35,USD,JPY,152.654497
2024-11-08 20:31:18,USD,JPY,152.596028
2024-11-08 20:32:19,USD,JPY,152.674501
2024-11-08 20:33:19,USD,JPY,152.689012
2024-11-08 20:34:20,USD,JPY,152.689012
2024-11-08 20:35:21,USD,JPY,152.72602
2024-11-08 20:36:21,USD,JPY,152.6965
2024-11-08 20:37:22,USD,JPY,152.6965
2024-11-08 20:38:22,USD,JPY,152.683979
2024-11-08 20:39:23,USD,JPY,152.767003
2024-11-08 20:40:23,USD,JPY,152.767003
2024-11-08 20:41:24,USD,JPY,152.756012
2024-11-08 20:42:24,USD,JPY,152.756012
2024-11-08 20:43:25,USD,JPY,152.756012
2024-11-08 20:44:25,USD,JPY,152.756012
2024-11-08 20:45:26,USD,JPY,152.785024
2024-11-08 20:46:26,USD,JPY,152.785024
2024-11-08 20:47:27,USD,JPY,152.785024
2024-11-08 20:48:28,USD,JPY,152.785024
2024-11-08 20:49:28,USD,JPY,152.745497
2024-11-08 20:50:29,USD,JPY,152.745497
2024-11-08 20:51:29,USD,JPY,152.745497
2024-11-08 20:52:30,USD,JPY,152.73974
2024-11-08 20:53:30,USD,JPY,152.73974
2024-11-08 20:54:31,USD,JPY,152.73974
2024-11-08 20:55:31,USD,JPY,152.675984
2024-11-08 20:56:32,USD,JPY,152.675984
2024-11-08 20:57:32,USD,JPY,152.675984
2024-11-08 20:58:33,USD,JPY,152.692012
2024-11-08 20:59:33,USD,JPY,152.71001
2024-11-08 21:00:34,USD,JPY,152.744016
2024-11-08 21:01:34,USD,JPY,152.744016
2024-11-08 21:02:35,USD,JPY,152.744016
2024-11-08 21:03:35,USD,JPY,152.730387
2024-11-08 21:04:36,USD,JPY,152.730387
2024-11-08 21:05:36,USD,JPY,152.730387
2024-11-08 21:06:37,USD,JPY,152.713024
2024-11-08 21:07:37,USD,JPY,152.713024
2024-11-08 21:08:38,USD,JPY,152.713024
2024-11-08 21:09:38,USD,JPY,152.713024
2024-11-08 21:10:39,USD,JPY,152.79801
2024-11-08 21:11:39,USD,JPY,152.803502
2024-11-08 21:12:40,USD,JPY,152.826042
2024-11-08 21:13:40,USD,JPY,152.826042
2024-11-08 21:14:41,USD,JPY,152.826042
2024-11-08 21:15:41,USD,JPY,152.826042
2024-11-08 21:16:42,USD,JPY,152.747026
2024-11-08 21:17:42,USD,JPY,152.747026
2024-11-08 21:18:43,USD,JPY,152.724022
2024-11-08 21:19:43,USD,JPY,152.724022
2024-11-08 21:20:44,USD,JPY,152.757011
2024-11-08 21:21:44,USD,JPY,152.757011
2024-11-08 21:22:45,USD,JPY,152.713968
2024-11-08 21:23:45,USD,JPY,152.739023
2024-11-08 21:24:46,USD,JPY,152.739023
2024-11-08 21:25:46,USD,JPY,152.739023
2024-11-08 21:26:47,USD,JPY,152.739023
2024-11-08 21:27:47,USD,JPY,152.639728
2024-11-08 21:28:48,USD,JPY,152.639728
2024-11-08 21:29:48,USD,JPY,152.639728
2024-11-08 21:30:49,USD,JPY,152.639728
2024-11-08 21:31:49,USD,JPY,152.639728
2024-11-08 21:32:50,USD,JPY,152.628001
2024-11-08 21:33:50,USD,JPY,152.572011
2024-11-08 21:34:51,USD,JPY,152.572011
2024-11-08 21:35:51,USD,JPY,152.572011
2024-11-08 21:36:52,USD,JPY,152.572011
2024-11-08 21:37:52,USD,JPY,152.572011
2024-11-08 21:38:53,USD,JPY,152.601499
2024-11-08 21:39:53,USD,JPY,152.566035
2024-11-08 21:40:54,USD,JPY,152.566035
2024-11-08 21:41:54,USD,JPY,152.566035
2024-11-08 21:42:55,USD,JPY,152.566035
2024-11-08 21:43:55,USD,JPY,152.566035
2024-11-08 21:44:56,USD,JPY,152.619889
2024-11-08 21:45:56,USD,JPY,152.619889
2024-11-08 21:46:57,USD,JPY,152.619889
2024-11-08 21:47:57,USD,JPY,152.655959
2024-11-08 21:48:58,USD,JPY,152.655959
2024-11-08 21:49:58,USD,JPY,152.655959
2024-11-08 21:50:59,USD,JPY,152.696042
2024-11-08 21:51:59,USD,JPY,152.696042
2024-11-08 21:53:00,USD,JPY,152.696042
2024-11-08 21:54:00,USD,JPY,152.696042
2024-11-08 21:55:01,USD,JPY,152.71504
2024-11-08 21:56:01,USD,JPY,152.717498
